Region,Destination_Name,Destination_Type,Total_Days,Total_Persons,Budget_Per_Person
South,Munnar,Urban/City,13,12,13044
Central,Gwalior,Beach,3,8,20363
East,Konark,Urban/City,13,7,8106
West,Jaisalmer,Historical,7,3,24151
North,Nainital,Trekking,8,3,47719
South,Mysore,Hidden Gem,5,9,38001
North,Manali,Wildlife,7,7,23470
North,Rishikesh,Hill Station,15,8,37163
East,Konark,Adventure,7,4,27517
Northeast,Cherrapunji,Beach,10,12,40551
East,Darjeeling,Adventure,4,9,12936
Central,Bhopal,Desert,2,7,55398
Northeast,Ziro Valley,Historical,9,6,55794
South,Kochi,Religious,2,6,18245
East,Kolkata,Adventure,7,10,23911
North,Manali,Beach,15,11,35128
Northeast,Ziro Valley,Urban/City,9,3,55098
Central,Bandhavgarh,Desert,2,8,38743
Central,Sanchi,Religious,5,8,35606
North,Dalhousie,Beach,7,2,56393
North,Kullu,Religious,15,6,18097
Northeast,Shillong Peak,Adventure,3,2,5706
South,Goa,Religious,3,6,40995
West,Udaipur,Beach,12,1,53349
Central,Indore,Adventure,14,10,35691
East,Bodh Gaya,Trekking,14,10,59489
Northeast,Aizawl,Religious,12,11,28573
Northeast,Dzukou Valley,Urban/City,7,8,44909
Central,Sanchi,Desert,14,10,44116
Northeast,Aizawl,Trekking,14,1,27154
North,Varanasi,Trekking,15,4,17271
Central,Gwalior,Urban/City,2,9,24865
Northeast,Majuli,Trekking,14,9,30085
Northeast,Aizawl,Wildlife,11,2,51070
North,Jaipur,Hill Station,5,3,38076
East,Shillong,Beach,2,1,45347
Northeast,Cherrapunji,Trekking,13,4,46052
Central,Gwalior,Adventure,12,3,50623
South,Goa,Adventure,14,2,57470
Central,Pachmarhi,Beach,6,9,34911
Northeast,Cherrapunji,Urban/City,4,1,40755
East,Bodh Gaya,Hill Station,2,4,27813
Central,Khajuraho,Adventure,8,10,21908
North,Leh,Adventure,10,9,36315
West,Ahmedabad,Trekking,7,2,7927
South,Pondicherry,Beach,14,1,37762
West,Somnath,Religious,4,6,23024
Central,Khajuraho,Adventure,9,1,4033
West,Jaisalmer,Religious,11,6,7427
East,Puri,Adventure,9,4,14649
South,Goa,Beach,12,7,18759
East,Bodh Gaya,Hidden Gem,13,8,55326
North,Agra,Hidden Gem,13,4,7881
Central,Bandhavgarh,Beach,5,6,11736
East,Darjeeling,Adventure,10,1,11483
Northeast,Dzukou Valley,Hidden Gem,3,7,39233
West,Mumbai,Beach,2,2,10904
West,Somnath,Urban/City,2,12,59141
South,Kochi,Religious,4,11,22888
East,Guwahati,Wildlife,5,1,34816
South,Alleppey,Religious,10,2,30488
West,Rann of Kutch,Wildlife,15,1,12889
Central,Khajuraho,Trekking,8,6,6701
Northeast,Ziro Valley,Adventure,11,6,6485
West,Mumbai,Trekking,15,5,6467
South,Coorg,Urban/City,5,12,7604
South,Hampi,Wildlife,15,2,50148
West,Mumbai,Desert,3,11,49631
Central,Kanha National Park,Hill Station,15,5,32100
West,Rann of Kutch,Hidden Gem,2,8,57198
West,Rann of Kutch,Trekking,3,5,8752
Central,Bhopal,Adventure,4,2,41253
West,Dwarka,Hill Station,4,9,34449
North,Manali,Urban/City,3,3,51031
South,Mysore,Trekking,9,8,12580
East,Puri,Historical,7,12,45169
Central,Khajuraho,Adventure,2,11,45403
Central,Gwalior,Hidden Gem,10,1,9703
North,Agra,Religious,12,2,57241
West,Somnath,Religious,7,7,59847
Northeast,Tawang,Religious,6,6,55730
North,Shimla,Hidden Gem,11,7,41232
Northeast,Majuli,Religious,7,5,30930
Central,Gwalior,Historical,2,8,51360
West,Mount Abu,Hill Station,3,3,38773
West,Ahmedabad,Trekking,12,7,34254
South,Pondicherry,Adventure,7,3,9046
West,Somnath,Urban/City,10,12,9364
North,Rishikesh,Historical,6,9,40551
Northeast,Cherrapunji,Wildlife,9,5,54939
Central,Bhopal,Hidden Gem,14,10,55234
West,Jaisalmer,Trekking,14,9,44458
North,Kullu,Hill Station,3,1,25567
South,Alleppey,Adventure,6,11,15548
Central,Pachmarhi,Urban/City,10,12,39761
West,Somnath,Historical,6,6,50042
South,Goa,Hill Station,8,7,56533
West,Gir National Park,Trekking,4,7,7043
Northeast,Dzukou Valley,Historical,6,7,14013
Northeast,Imphal,Wildlife,9,9,30410
East,Konark,Trekking,9,9,5442
Northeast,Aizawl,Historical,12,7,28065
East,Guwahati,Urban/City,5,11,42277
North,Varanasi,Beach,13,8,48476
East,Bodh Gaya,Desert,7,3,20670
North,Rishikesh,Desert,3,1,47912
North,Kullu,Urban/City,10,5,46030
Northeast,Aizawl,Urban/City,4,2,38651
North,Nainital,Desert,14,1,15976
West,Ahmedabad,Desert,10,10,36575
Central,Sanchi,Trekking,6,12,46991
Northeast,Shillong Peak,Desert,2,4,16316
West,Gir National Park,Hill Station,10,5,31657
East,Gangtok,Adventure,15,11,3174
East,Darjeeling,Hill Station,10,2,28719
North,Dalhousie,Hill Station,4,4,14897
Northeast,Dzukou Valley,Adventure,3,7,30554
West,Udaipur,Wildlife,13,12,40179
North,Shimla,Wildlife,5,4,58914
Central,Pachmarhi,Trekking,5,10,8837
West,Mount Abu,Adventure,14,4,9701
East,Bodh Gaya,Wildlife,4,12,30564
Central,Sanchi,Urban/City,14,1,29556
Northeast,Ziro Valley,Adventure,14,2,29803
West,Ahmedabad,Urban/City,7,9,3262
West,Mumbai,Desert,15,5,20944
West,Mount Abu,Trekking,6,6,3711
East,Darjeeling,Urban/City,2,4,19289
East,Darjeeling,Urban/City,9,4,22287
West,Udaipur,Trekking,14,11,14760
East,Konark,Historical,7,2,18352
East,Shillong,Desert,9,1,13409
South,Goa,Beach,12,2,23019
West,Dwarka,Historical,2,3,34834
South,Ooty,Hidden Gem,6,2,49417
East,Sundarbans,Religious,12,10,51767
East,Konark,Religious,15,10,33292
North,Varanasi,Hidden Gem,15,2,22001
South,Goa,Historical,3,2,44154
South,Kochi,Hill Station,6,12,24378
North,Jaipur,Desert,3,10,4156
East,Kolkata,Religious,9,12,9567
South,Kochi,Desert,9,2,9967
West,Udaipur,Hill Station,4,8,24231
Northeast,Ziro Valley,Religious,2,10,21273
East,Puri,Urban/City,3,3,14917
West,Dwarka,Wildlife,13,5,33490
Central,Bandhavgarh,Hidden Gem,10,11,42476
East,Gangtok,Historical,6,1,57951
Central,Indore,Beach,8,3,16090
East,Kolkata,Desert,14,2,50043
Central,Bandhavgarh,Desert,11,3,3274
West,Somnath,Religious,11,7,8056
South,Kochi,Adventure,14,5,37551
East,Konark,Wildlife,10,10,45203
West,Jaisalmer,Hidden Gem,13,11,5180
South,Mysore,Historical,15,3,45233
East,Konark,Hidden Gem,15,9,32582
Central,Pachmarhi,Hidden Gem,9,11,4069
Central,Bhopal,Adventure,14,5,7779
South,Pondicherry,Hill Station,13,8,11387
East,Darjeeling,Adventure,14,7,51075
East,Bodh Gaya,Trekking,12,2,45454
East,Guwahati,Hill Station,5,12,17644
East,Gangtok,Historical,13,11,7799
South,Mysore,Religious,12,5,11787
Northeast,Dzukou Valley,Wildlife,12,6,30696
West,Udaipur,Beach,9,4,22673
North,Manali,Historical,8,3,19088
West,Mount Abu,Wildlife,11,4,33709
South,Pondicherry,Urban/City,6,7,23268
Northeast,Imphal,Wildlife,13,10,36308
North,Kullu,Urban/City,9,3,44432
Central,Kanha National Park,Religious,13,9,19512
Northeast,Shillong Peak,Adventure,12,10,14999
West,Mount Abu,Trekking,5,4,50371
West,Rann of Kutch,Wildlife,4,12,50618
East,Sundarbans,Hidden Gem,9,10,27698
Northeast,Ziro Valley,Religious,13,3,43621
West,Udaipur,Religious,11,1,54288
Central,Bhopal,Religious,8,8,6232
North,Varanasi,Adventure,3,12,39853
East,Puri,Desert,10,3,33884
Northeast,Tawang,Hill Station,14,2,43531
Northeast,Majuli,Hill Station,9,12,59587
Central,Bandhavgarh,Desert,14,4,38267
South,Kodaikanal,Beach,3,9,44394
South,Ooty,Beach,2,1,12653
Central,Indore,Religious,6,2,21744
Central,Khajuraho,Beach,7,9,26108
Northeast,Ziro Valley,Hidden Gem,13,7,5098
West,Mount Abu,Wildlife,9,11,43772
East,Kolkata,Wildlife,14,2,53522
Northeast,Dzukou Valley,Trekking,2,3,52266
Northeast,Tawang,Adventure,3,5,45671
East,Bodh Gaya,Desert,14,5,26412
South,Pondicherry,Beach,4,5,35157
North,Rishikesh,Beach,5,8,11939
South,Kodaikanal,Desert,2,7,31524
Central,Pachmarhi,Religious,13,7,34859
East,Kolkata,Religious,14,12,47798
East,Konark,Desert,7,5,15083
South,Alleppey,Historical,3,3,25827
North,Leh,Historical,15,11,13493
Northeast,Majuli,Hill Station,12,5,29033
East,Kolkata,Trekking,5,5,41686
South,Goa,Adventure,2,2,43302
Central,Pachmarhi,Hidden Gem,13,11,11852
East,Kolkata,Urban/City,5,9,25900
East,Puri,Beach,8,10,8508
East,Darjeeling,Urban/City,5,11,58724
South,Kodaikanal,Trekking,11,7,10764
Northeast,Majuli,Desert,6,7,5002
North,Leh,Adventure,15,2,15186
North,Dalhousie,Beach,14,2,50984
Northeast,Imphal,Hidden Gem,5,8,40008
South,Ooty,Beach,14,6,16673
West,Jaisalmer,Religious,13,7,17787
North,Kullu,Religious,5,8,43342
East,Sundarbans,Wildlife,5,11,25334
West,Mount Abu,Urban/City,10,3,52652
North,Shimla,Hill Station,6,12,12232
North,Nainital,Religious,10,9,34178
North,Manali,Urban/City,6,10,16089
Northeast,Kaziranga,Trekking,7,4,49616
North,Jaipur,Urban/City,3,9,34309
North,Manali,Hill Station,15,9,28705
South,Goa,Religious,8,12,51027
East,Sundarbans,Urban/City,14,5,28076
South,Mysore,Adventure,9,4,10374
East,Sundarbans,Historical,9,3,3479
North,Leh,Desert,3,2,19482
South,Ooty,Religious,5,1,56781
West,Mumbai,Historical,2,9,51860
Central,Pachmarhi,Urban/City,12,8,44445
East,Bodh Gaya,Beach,14,11,44152
Central,Bhopal,Adventure,11,8,49895
Central,Khajuraho,Urban/City,6,3,58219
East,Sundarbans,Adventure,9,7,6337
South,Kodaikanal,Historical,5,10,55985
Northeast,Ziro Valley,Beach,10,10,30934
East,Shillong,Beach,5,3,42535
West,Jaisalmer,Urban/City,14,12,31381
Northeast,Majuli,Beach,10,5,12662
South,Pondicherry,Desert,10,2,44778
Central,Khajuraho,Hidden Gem,8,7,44153
Central,Kanha National Park,Adventure,8,10,51225
Northeast,Cherrapunji,Trekking,11,1,7838
East,Bodh Gaya,Adventure,8,5,57605
East,Puri,Desert,13,4,9629
Central,Bhopal,Hill Station,8,1,36553
South,Coorg,Urban/City,8,9,6269
West,Jaisalmer,Wildlife,11,2,31100
Northeast,Cherrapunji,Urban/City,4,3,11810
East,Guwahati,Beach,12,4,48545
Central,Bandhavgarh,Historical,2,4,47771
South,Munnar,Trekking,2,11,35477
Northeast,Kaziranga,Historical,6,2,41765
East,Gangtok,Desert,15,2,30447
South,Ooty,Urban/City,3,12,42656
Northeast,Imphal,Trekking,8,8,21515
North,Leh,Religious,6,12,13563
North,Manali,Desert,8,2,14921
South,Kodaikanal,Hill Station,11,2,57949
West,Gir National Park,Trekking,5,4,17249
Central,Bhopal,Historical,15,9,7239
North,Shimla,Adventure,11,5,9465
South,Pondicherry,Religious,12,1,12286
East,Puri,Historical,15,1,26565
Northeast,Dzukou Valley,Adventure,12,3,15908
Northeast,Imphal,Desert,10,1,22178
East,Gangtok,Historical,5,3,47676
West,Dwarka,Adventure,9,4,14712
Northeast,Tawang,Hidden Gem,5,6,46746
West,Rann of Kutch,Beach,13,1,27943
Northeast,Imphal,Wildlife,9,7,37768
West,Mumbai,Historical,10,5,9889
South,Goa,Hill Station,3,2,26914
South,Alleppey,Adventure,15,8,34962
North,Varanasi,Wildlife,8,10,35426
West,Gir National Park,Wildlife,5,12,43339
East,Gangtok,Adventure,5,10,38073
Central,Sanchi,Beach,7,5,30496
North,Jaipur,Hidden Gem,10,12,38406
North,Manali,Historical,11,3,6298
North,Nainital,Hill Station,12,1,25577
North,Rishikesh,Urban/City,9,8,20666
West,Jaisalmer,Beach,12,2,33681
South,Pondicherry,Adventure,8,7,23220
East,Kolkata,Hidden Gem,11,3,15406
Central,Indore,Hill Station,7,11,26411
Northeast,Kaziranga,Hill Station,12,2,26680
West,Mumbai,Urban/City,13,2,40404
Northeast,Kaziranga,Urban/City,3,2,38477
East,Shillong,Urban/City,4,8,21630
East,Shillong,Hill Station,13,1,58272
East,Shillong,Trekking,2,10,47892
South,Coorg,Wildlife,11,5,27884
East,Puri,Beach,4,10,28709
Northeast,Tawang,Beach,3,4,31773
West,Dwarka,Hidden Gem,10,9,28452
East,Bodh Gaya,Wildlife,14,5,49534
North,Jaipur,Adventure,9,4,36561
Central,Gwalior,Religious,12,8,24139
West,Dwarka,Beach,3,3,11823
Northeast,Kaziranga,Urban/City,7,9,3391
East,Puri,Adventure,13,1,16351
North,Nainital,Religious,3,1,4635
Northeast,Kaziranga,Hidden Gem,10,6,37237
North,Nainital,Hill Station,2,9,7139
Northeast,Dzukou Valley,Beach,11,11,31394
East,Darjeeling,Desert,7,12,37335
West,Gir National Park,Hill Station,9,9,8579
North,Rishikesh,Wildlife,12,11,22919
South,Coorg,Adventure,7,8,17006
West,Mount Abu,Trekking,10,7,52747
North,Kullu,Urban/City,9,7,6433
Northeast,Ziro Valley,Religious,6,9,54093
North,Dalhousie,Trekking,8,3,6032
East,Puri,Hill Station,7,3,5900
Central,Bandhavgarh,Hidden Gem,11,2,55179
Central,Kanha National Park,Hidden Gem,14,1,22212
Central,Sanchi,Adventure,9,11,28839
Central,Kanha National Park,Desert,10,11,33741
Northeast,Tawang,Desert,10,8,39348
East,Sundarbans,Wildlife,13,12,11470
Northeast,Kaziranga,Wildlife,6,11,27488
West,Somnath,Wildlife,7,7,53795
Central,Bhopal,Hill Station,11,1,20323
West,Mumbai,Adventure,7,9,12440
Central,Khajuraho,Wildlife,4,11,21284
North,Shimla,Historical,15,9,54088
East,Konark,Hill Station,2,12,43249
East,Gangtok,Desert,4,9,4585
West,Ahmedabad,Historical,4,12,16045
Northeast,Majuli,Hidden Gem,3,3,41729
Northeast,Tawang,Hidden Gem,12,1,18470
South,Pondicherry,Adventure,2,9,29472
East,Kolkata,Historical,4,3,40161
East,Guwahati,Hidden Gem,4,2,48067
South,Hampi,Urban/City,2,6,36726
South,Pondicherry,Hill Station,8,11,42644
East,Gangtok,Desert,2,6,30900
East,Gangtok,Religious,8,11,17628
Central,Bandhavgarh,Hill Station,7,3,10281
South,Kochi,Trekking,9,5,49999
West,Gir National Park,Trekking,6,3,12601
West,Rann of Kutch,Adventure,10,4,18407
West,Mumbai,Desert,4,2,57503
East,Darjeeling,Adventure,6,10,32594
West,Somnath,Religious,11,6,56729
North,Varanasi,Adventure,10,10,35826
North,Leh,Hidden Gem,13,1,25371
South,Mysore,Urban/City,13,4,19899
East,Kolkata,Religious,5,4,24263
Central,Bandhavgarh,Historical,15,5,23444
North,Dalhousie,Hill Station,5,1,10842
East,Konark,Urban/City,7,4,38778
North,Nainital,Religious,15,1,4049
North,Leh,Urban/City,12,4,53005
South,Kodaikanal,Hidden Gem,3,5,8622
West,Rann of Kutch,Urban/City,15,7,30522
East,Gangtok,Desert,2,1,6594
East,Darjeeling,Wildlife,9,11,49024
North,Nainital,Hidden Gem,15,11,50109
Northeast,Cherrapunji,Beach,14,3,9170
East,Kolkata,Adventure,7,6,28266
Northeast,Kaziranga,Beach,14,7,6830
West,Jaisalmer,Hidden Gem,11,4,9170
Northeast,Imphal,Hidden Gem,14,4,58667
South,Munnar,Hidden Gem,3,5,37086
South,Alleppey,Religious,5,6,45277
West,Jaisalmer,Beach,15,11,39468
East,Kolkata,Urban/City,5,5,33478
North,Varanasi,Trekking,3,5,56360
North,Varanasi,Urban/City,6,1,43074
Northeast,Imphal,Historical,7,4,49671
East,Gangtok,Hidden Gem,9,7,27928
South,Alleppey,Wildlife,5,6,9667
Northeast,Aizawl,Trekking,4,6,11004
Central,Gwalior,Trekking,14,4,4871
Northeast,Kaziranga,Historical,7,3,7161
North,Leh,Religious,15,12,21949
East,Konark,Beach,9,2,42593
West,Dwarka,Trekking,14,6,57676
East,Darjeeling,Urban/City,13,9,34436
Northeast,Aizawl,Wildlife,13,5,52072
North,Dalhousie,Hidden Gem,10,11,48840
West,Mumbai,Religious,15,11,42501
North,Manali,Wildlife,11,2,6213
East,Puri,Hidden Gem,3,12,59343
East,Darjeeling,Religious,10,4,11177
North,Leh,Hill Station,12,4,12370
Northeast,Cherrapunji,Adventure,11,5,25738
South,Kodaikanal,Desert,2,2,14803
West,Mount Abu,Adventure,4,7,48145
South,Goa,Adventure,10,7,57323
Northeast,Majuli,Urban/City,5,5,29471
East,Guwahati,Beach,3,12,18000
Central,Pachmarhi,Beach,11,12,16081
Central,Sanchi,Historical,3,4,43858
West,Jaisalmer,Trekking,6,8,59082
North,Jaipur,Desert,3,5,48265
West,Jaisalmer,Hill Station,7,1,32611
Northeast,Imphal,Wildlife,9,12,55722
Northeast,Aizawl,Historical,10,12,40325
South,Ooty,Urban/City,12,9,4067
North,Nainital,Trekking,7,7,19547
West,Somnath,Beach,10,5,11981
North,Rishikesh,Adventure,14,7,50465
West,Mumbai,Historical,9,12,58938
West,Jaisalmer,Hidden Gem,5,11,56843
South,Hampi,Urban/City,15,3,56770
North,Jaipur,Trekking,5,12,37101
West,Jaisalmer,Historical,6,6,40861
West,Rann of Kutch,Urban/City,2,2,21338
Central,Indore,Hidden Gem,6,5,8597
South,Hampi,Hill Station,5,9,38878
Central,Bhopal,Hill Station,2,2,17349
Northeast,Imphal,Historical,5,9,29407
West,Rann of Kutch,Religious,4,12,34261
South,Kochi,Hill Station,15,2,11606
Central,Bhopal,Beach,8,8,40683
South,Kochi,Desert,12,2,50999
Northeast,Shillong Peak,Historical,8,10,11822
Northeast,Tawang,Adventure,15,4,45199
West,Gir National Park,Urban/City,14,5,21596
West,Mount Abu,Historical,10,2,6537
Northeast,Kaziranga,Hidden Gem,15,3,16426
East,Darjeeling,Historical,10,1,31813
Northeast,Ziro Valley,Urban/City,7,8,13300
East,Gangtok,Hidden Gem,8,9,50831
North,Shimla,Hidden Gem,3,6,10794
South,Goa,Adventure,15,8,45165
North,Kullu,Hill Station,5,11,48706
Northeast,Imphal,Urban/City,3,10,35477
South,Kodaikanal,Hill Station,5,10,38922
South,Kochi,Urban/City,11,1,34899
North,Jaipur,Urban/City,9,7,22376
Northeast,Tawang,Adventure,4,6,25439
East,Kolkata,Hill Station,7,5,23203
West,Dwarka,Desert,6,12,6005
East,Puri,Religious,9,6,36172
South,Hampi,Urban/City,14,10,40419
North,Kullu,Historical,9,5,41972
North,Jaipur,Hidden Gem,12,9,58063
Northeast,Cherrapunji,Adventure,12,11,3204
Central,Pachmarhi,Urban/City,3,4,47342
Northeast,Aizawl,Adventure,4,1,25663
Northeast,Tawang,Urban/City,14,6,26772
Central,Bhopal,Beach,6,7,10982
Central,Sanchi,Hidden Gem,13,4,24015
Central,Indore,Religious,2,6,35848
North,Nainital,Adventure,15,9,25982
Northeast,Kaziranga,Historical,13,2,18484
East,Konark,Wildlife,12,10,41132
West,Mount Abu,Adventure,7,9,56788
East,Darjeeling,Hidden Gem,5,9,54764
Central,Khajuraho,Urban/City,10,5,30300
West,Dwarka,Beach,3,1,37533
East,Darjeeling,Trekking,14,4,33215
South,Ooty,Hidden Gem,13,7,17099
South,Pondicherry,Hidden Gem,14,6,3737
Northeast,Tawang,Urban/City,11,3,19112
North,Jaipur,Wildlife,6,3,34160
South,Alleppey,Hill Station,7,4,55934
North,Jaipur,Hill Station,3,11,48050
Northeast,Imphal,Hidden Gem,9,12,10091
East,Darjeeling,Trekking,3,3,49004
South,Hampi,Hidden Gem,4,7,10486
Central,Pachmarhi,Religious,12,8,26770
East,Bodh Gaya,Trekking,10,1,36657
West,Ahmedabad,Desert,6,3,32758
South,Kodaikanal,Urban/City,8,1,32872
South,Kochi,Beach,11,8,56364
West,Udaipur,Religious,4,10,28333
West,Somnath,Historical,8,10,11002
South,Kochi,Adventure,11,5,29025
South,Kodaikanal,Wildlife,10,10,34408
West,Gir National Park,Wildlife,9,1,19054
West,Gir National Park,Adventure,11,6,36353
East,Sundarbans,Hidden Gem,8,4,38353
South,Goa,Historical,14,7,30299
Northeast,Majuli,Religious,7,9,53057
North,Dalhousie,Wildlife,4,2,15675
South,Ooty,Desert,12,6,35006
West,Gir National Park,Historical,12,12,58894
West,Somnath,Urban/City,12,10,38634
East,Gangtok,Historical,4,8,18927
South,Mysore,Hill Station,7,1,43378
West,Udaipur,Urban/City,2,1,14955
South,Ooty,Urban/City,4,5,33640
West,Ahmedabad,Trekking,9,2,14136
Central,Indore,Desert,11,11,32034
West,Mount Abu,Religious,7,12,34699
West,Dwarka,Hidden Gem,10,9,11217
North,Shimla,Urban/City,7,3,26934
Central,Bhopal,Adventure,14,9,49056
West,Jaisalmer,Desert,5,2,14166
North,Nainital,Desert,14,11,55855
East,Darjeeling,Adventure,2,9,17485
East,Guwahati,Hidden Gem,10,9,53866
Northeast,Majuli,Hidden Gem,5,11,32969
Northeast,Kaziranga,Beach,14,2,13264
North,Varanasi,Urban/City,3,2,58449
Northeast,Ziro Valley,Hill Station,14,1,23114
South,Hampi,Wildlife,12,8,29000
Northeast,Aizawl,Hill Station,13,1,34175
North,Agra,Historical,3,7,41163
Central,Gwalior,Adventure,13,12,55269
West,Mount Abu,Historical,8,11,22502
East,Shillong,Beach,4,7,19739
Central,Pachmarhi,Historical,3,2,16174
Central,Khajuraho,Hidden Gem,7,11,13610
Central,Kanha National Park,Hill Station,5,2,43404
Central,Sanchi,Adventure,13,3,49441
Northeast,Aizawl,Hill Station,5,9,30902
East,Gangtok,Historical,6,8,12353
South,Kodaikanal,Wildlife,12,6,43703
Central,Sanchi,Hill Station,8,6,4086
South,Ooty,Hidden Gem,6,6,10168
West,Jaisalmer,Desert,2,2,27039
West,Mount Abu,Desert,15,4,26703
East,Guwahati,Wildlife,4,7,40324
Central,Khajuraho,Desert,6,4,24108
North,Nainital,Wildlife,12,2,43785
West,Mumbai,Adventure,13,9,11946
West,Rann of Kutch,Adventure,7,10,12376
North,Dalhousie,Urban/City,2,4,23608
North,Varanasi,Hidden Gem,13,7,26703
West,Dwarka,Trekking,11,4,41695
South,Munnar,Religious,2,4,22523
North,Kullu,Desert,15,3,13826
West,Gir National Park,Adventure,7,9,27274
Central,Bandhavgarh,Desert,9,7,12897
North,Agra,Historical,12,9,44689
North,Shimla,Adventure,13,3,57070
North,Varanasi,Trekking,9,5,59583
West,Dwarka,Hill Station,15,6,10308
South,Alleppey,Trekking,15,10,5715
Northeast,Dzukou Valley,Religious,11,1,57440
Northeast,Kaziranga,Wildlife,2,9,55550
West,Mount Abu,Wildlife,13,8,47565
Northeast,Cherrapunji,Historical,9,1,7415
East,Gangtok,Adventure,5,4,45011
North,Dalhousie,Trekking,11,7,19858
East,Sundarbans,Adventure,4,3,46610
Central,Bandhavgarh,Hidden Gem,15,4,43909
West,Rann of Kutch,Desert,6,2,25864
Central,Sanchi,Religious,9,5,35415
East,Guwahati,Historical,15,6,29169
Northeast,Majuli,Historical,8,8,19468
South,Mysore,Beach,7,5,50377
Central,Gwalior,Hill Station,3,5,6664
Central,Khajuraho,Religious,10,11,44984
West,Jaisalmer,Wildlife,4,8,55006
Central,Bandhavgarh,Religious,2,6,48194
South,Kodaikanal,Religious,10,6,18622
East,Bodh Gaya,Historical,6,1,35752
Central,Pachmarhi,Hidden Gem,9,11,34232
Northeast,Cherrapunji,Desert,4,7,20155
South,Alleppey,Urban/City,13,10,5668
North,Kullu,Beach,3,12,37465
Central,Bhopal,Hill Station,4,2,38921
North,Kullu,Hill Station,3,3,6939
North,Rishikesh,Urban/City,12,9,51991
West,Mumbai,Historical,13,5,14615
West,Dwarka,Beach,7,3,59262
South,Pondicherry,Wildlife,13,7,25473
South,Mysore,Desert,12,12,42968
West,Mumbai,Adventure,6,1,5811
South,Alleppey,Hidden Gem,12,1,14834
East,Guwahati,Hidden Gem,12,3,28491
Central,Pachmarhi,Wildlife,4,6,17038
West,Gir National Park,Adventure,7,8,3945
Northeast,Aizawl,Adventure,11,2,59948
East,Gangtok,Beach,15,2,25583
Northeast,Imphal,Beach,5,8,26302
Northeast,Ziro Valley,Adventure,5,11,16062
South,Alleppey,Urban/City,14,12,4622
East,Guwahati,Trekking,3,1,20060
East,Shillong,Wildlife,4,6,8689
West,Mount Abu,Beach,10,4,40936
Northeast,Shillong Peak,Hidden Gem,15,8,41133
West,Somnath,Trekking,14,7,36369
East,Gangtok,Historical,6,4,20732
West,Dwarka,Hidden Gem,5,4,13575
Northeast,Cherrapunji,Trekking,12,6,27238
Central,Bandhavgarh,Desert,12,3,56878
West,Rann of Kutch,Hill Station,14,8,24816
West,Jaisalmer,Religious,15,4,13196
Central,Khajuraho,Desert,4,6,51664
South,Alleppey,Historical,10,11,4267
Northeast,Tawang,Beach,15,9,29813
West,Dwarka,Hill Station,2,1,25969
East,Shillong,Urban/City,10,6,52258
North,Agra,Beach,12,10,17813
South,Munnar,Wildlife,8,3,45523
Central,Sanchi,Urban/City,5,7,44592
West,Rann of Kutch,Hidden Gem,12,2,59390
Northeast,Aizawl,Adventure,13,8,32971
Central,Indore,Beach,12,1,20098
North,Agra,Historical,10,5,33017
West,Mumbai,Urban/City,7,6,10797
North,Jaipur,Religious,10,12,3037
South,Ooty,Wildlife,3,2,13229
South,Alleppey,Trekking,11,6,15155
South,Mysore,Urban/City,12,11,12934
East,Puri,Religious,13,8,37724
South,Ooty,Desert,3,7,58922
West,Mumbai,Beach,14,1,59776
North,Shimla,Historical,7,5,44957
North,Dalhousie,Religious,13,12,11373
Northeast,Shillong Peak,Trekking,6,8,49422
Central,Indore,Beach,10,2,25123
North,Kullu,Adventure,13,9,14083
North,Shimla,Trekking,4,1,33840
Northeast,Shillong Peak,Wildlife,8,3,58118
Northeast,Shillong Peak,Beach,11,6,57208
North,Nainital,Hill Station,12,10,48351
Northeast,Imphal,Desert,2,11,54667
Northeast,Majuli,Desert,7,1,25346
Northeast,Kaziranga,Trekking,7,1,9085
South,Mysore,Urban/City,6,2,55692
North,Kullu,Religious,7,12,17288
North,Manali,Urban/City,14,6,47357
West,Somnath,Hidden Gem,7,10,57546
West,Dwarka,Hill Station,15,2,55842
West,Udaipur,Trekking,9,6,14263
East,Guwahati,Hidden Gem,2,4,51976
Central,Kanha National Park,Desert,8,10,50903
South,Coorg,Hidden Gem,8,2,19526
South,Ooty,Historical,4,10,6117
West,Gir National Park,Hill Station,7,6,4850
North,Agra,Trekking,14,2,55743
Central,Pachmarhi,Religious,3,2,5658
Central,Pachmarhi,Historical,3,3,52052
Northeast,Kaziranga,Trekking,7,10,20926
North,Kullu,Hill Station,8,3,5953
East,Kolkata,Hill Station,9,1,14288
West,Jaisalmer,Historical,12,2,42145
South,Ooty,Religious,9,10,38952
South,Goa,Wildlife,4,9,49835
West,Jaisalmer,Trekking,2,6,9167
Northeast,Imphal,Adventure,2,3,21659
Central,Kanha National Park,Urban/City,14,3,10737
East,Bodh Gaya,Trekking,15,2,55500
Central,Sanchi,Hill Station,14,3,6468
Central,Sanchi,Urban/City,2,9,47781
West,Mount Abu,Adventure,13,10,10761
North,Jaipur,Beach,12,4,17763
East,Guwahati,Beach,8,12,46817
East,Darjeeling,Historical,12,2,9922
North,Jaipur,Urban/City,9,10,37421
West,Mumbai,Hidden Gem,8,9,48936
Northeast,Majuli,Religious,14,8,12695
West,Ahmedabad,Beach,7,3,58415
North,Dalhousie,Historical,11,10,12330
Central,Sanchi,Religious,13,10,41610
South,Hampi,Hidden Gem,5,7,35968
East,Sundarbans,Adventure,4,4,15148
